"","Artist","ArtistID","ArtistGenres","ArtistPopularity","ArtistNumFollowers","AlbumName","AlbumID","AlbumBestChartPosition","AlbumWeeksOnChart","AlbumWeeksNumberOne","AlbumPopularity","TrackName","TrackID","TrackDuration","TrackNumber","TrackDanceability","TrackEnergy","TrackKey","TrackLoudness","TrackMode","TrackSpeechiness","TrackAcousticness","TrackInstrumentalness","TrackLiveness","TrackValence","TrackTempo","TrackTimeSignature","Release_year","Release_month","Season","isPop","isRock","isFolk","isTechno","isRap","isJazz","isIndie","isMetal","isBlues","isPunk"
"1","Andy Stewart","5xwYhjMTWJ66BjCvfcc6ii","traditional scottish folk",30,2728,"The Scottish Soldier","6B2cD9W09ZQShkKdzVALMd",19,40,0,0,"Donald Where's Your Troosers","4q3z6aThomt6qSdVhjW8R8",198112,1,0.729,0.363,10,-15.255,1,0.332,0.921,0,0.139,0.864,107.239,4,1960,"September","autumn",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2","Andy Stewart","5xwYhjMTWJ66BjCvfcc6ii","traditional scottish folk",30,2728,"The Scottish Soldier","6B2cD9W09ZQShkKdzVALMd",19,40,0,0,"North of the Border","4j8owzGQXm4qeYetzNE4Dn",135000,2,0.372,0.398,0,-15.749,1,0.0739,0.942,0,0.388,0.656,174.334,3,1960,"September","autumn",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3","Andy Stewart","5xwYhjMTWJ66BjCvfcc6ii","traditional scottish folk",30,2728,"The Scottish Soldier","6B2cD9W09ZQShkKdzVALMd",19,40,0,0,"Rothesay Bay","4dXbYVdpF2IeGBIUApyzOV",237949,3,0.297,0.113,3,-20.551,1,0.0332,0.983,0.000328,0.355,0.433,109.248,3,1960,"September","autumn",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4","Andy Stewart","5xwYhjMTWJ66BjCvfcc6ii","traditional scottish folk",30,2728,"The Scottish Soldier","6B2cD9W09ZQShkKdzVALMd",19,40,0,0,"Cowboy Jock from Skye","2V0VAZDWlqfNIQRkNK7k7j",158432,4,0.59,0.442,7,-14.976,1,0.104,0.949,0,0.281,0.928,128.869,4,1960,"September","autumn",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5","Andy Stewart","5xwYhjMTWJ66BjCvfcc6ii","traditional scottish folk",30,2728,"The Scottish Soldier","6B2cD9W09ZQShkKdzVALMd",19,40,0,0,"Sandy's Holiday","1mHjDq6JBVibefrsubQntS",123245,5,0.745,0.398,11,-14.841,1,0.323,0.862,0,0.0772,0.969,129.726,4,1960,"September","autumn",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"6","Andy Stewart","5xwYhjMTWJ66BjCvfcc6ii","traditional scottish folk",30,2728,"The Scottish Soldier","6B2cD9W09ZQShkKdzVALMd",19,40,0,0,"Take Me Back","5eF0uiFSY43wvr8jo63qCJ",184581,6,0.644,0.404,7,-16.316,1,0.05,0.907,0,0.185,0.911,107.926,5,1960,"September","autumn",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"7","Andy Stewart","5xwYhjMTWJ66BjCvfcc6ii","traditional scottish folk",30,2728,"The Scottish Soldier","6B2cD9W09ZQShkKdzVALMd",19,40,0,0,"Scottish Soldier","1YIH0N7YYY1AN2NnXHmTPA",210599,7,0.4,0.169,3,-18.389,1,0.0524,0.983,4.7e-06,0.0869,0.49,89.017,0,1960,"September","autumn",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"8","Roy Orbison","0JDkhL4rjiPNEp92jAgJnS","adult standards,brill building pop,bubblegum pop,folk rock,mellow gold,rock,rock-and-roll,rockabilly,soft rock",68,766215,"In Dreams","1Mur3hTEWtYHqGku4d9ySm",6,58,0,54,"In Dreams","5YsyqcewwE0c1ukzHVciS3",169160,1,0.495,0.435,0,-9.99,1,0.0286,0.67,0.00038,0.13,0.71,108.189,4,1963,"July","summer",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9","Roy Orbison","0JDkhL4rjiPNEp92jAgJnS","adult standards,brill building pop,bubblegum pop,folk rock,mellow gold,rock,rock-and-roll,rockabilly,soft rock",68,766215,"In Dreams","1Mur3hTEWtYHqGku4d9ySm",6,58,0,54,"Lonely Wine","6eEG9rbtwvNtDh5gAt9wtc",175066,2,0.5,0.304,10,-10.193,1,0.0244,0.861,0.000111,0.197,0.254,95.957,3,1963,"July","summer",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10","Roy Orbison","0JDkhL4rjiPNEp92jAgJnS","adult standards,brill building pop,bubblegum pop,folk rock,mellow gold,rock,rock-and-roll,rockabilly,soft rock",68,766215,"In Dreams","1Mur3hTEWtYHqGku4d9ySm",6,58,0,54,"Shahdaroba","6mu6SIhZp8IbtzSgv27lYu",159240,3,0.482,0.451,9,-9.285,0,0.0286,0.711,0.00131,0.175,0.553,109.323,4,1963,"July","summer",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
