"","CCG_CODE","CCG_ONS_CODE","CCG_NAME","STP_CODE","SUBREGION_ONS_CODE","REGION_ONS_CODE","APPOINTMENT_DATE","APPOINTMENT_STATUS","HCP_TYPE","APPOINTMENT_MODE","TIME_BETWEEN_BOOK_AND_APPT","COUNT_OF_APPOINTMENTS"
"1","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Unknown","HCP Type Not Provided","Telephone","Same Day",14
"2","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Unknown","HCP Type Not Provided","Telephone","2 to 7 Days",4
"3","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Unknown","HCP Type Not Provided","Telephone","15  to 21 Days",1
"4","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Unknown","HCP Type Not Provided","Home Visit","More than 28 Days",4
"5","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Unknown","HCP Type Not Provided","Home Visit","8  to 14 Days",1
"6","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Unknown","HCP Type Not Provided","Telephone","1 Day",4
"7","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Unknown","HCP Type Not Provided","Home Visit","22  to 28 Days",1
"8","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Unknown","HCP Type Not Provided","Home Visit","Same Day",25
"9","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Unknown","HCP Type Not Provided","Home Visit","2 to 7 Days",8
"10","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Unknown","HCP Type Not Provided","Home Visit","15  to 21 Days",1
"11","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","Same Day",45
"12","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","More than 28 Days",6
"13","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","8  to 14 Days",4
"14","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","2 to 7 Days",21
"15","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","15  to 21 Days",2
"16","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","1 Day",8
