"","COMMISSIONER_ORGANISATION_CODE","STPCD","REGIONAL_LOCAL_OFFICE_CODE","REGION_CODE","Appointment_Month","Included Practices","Open Practices","Patients registered at included practices","Patients registered at open practices"
"1297","05A","E54000018","E39000033","E40000008","01MAR2018",66,69,492230,512437
"1298","05A","E54000018","E39000033","E40000008","01APR2018",67,69,498388,513026
"1299","05A","E54000018","E39000033","E40000008","01MAY2018",67,69,499014,513731
"1300","05A","E54000018","E39000033","E40000008","01JUN2018",66,69,496033,514302
"1301","05A","E54000018","E39000033","E40000008","01JUL2018",67,69,504773,514580
"1302","05A","E54000018","E39000033","E40000008","01AUG2018",67,68,505133,514950
"1303","05A","E54000018","E39000033","E40000008","01SEP2018",67,68,506288,516117
"1304","05A","E54000018","E39000033","E40000008","01OCT2018",67,68,510870,520704
"1305","05A","E54000018","E39000033","E40000008","01NOV2018",67,68,512623,522517
"1306","05A","E54000018","E39000033","E40000008","01DEC2018",66,69,507200,522453
"1307","05A","E54000018","E39000033","E40000008","01JAN2019",66,68,507462,522663
"1308","05A","E54000018","E39000033","E40000008","01FEB2019",67,68,513130,523109
"1309","05A","E54000018","E39000033","E40000008","01MAR2019",67,68,513635,523670
"1310","05A","E54000018","E39000033","E40000008","01APR2019",67,68,514269,524357
"1311","05A","E54000018","E39000033","E40000008","01MAY2019",67,68,514629,524745
"1312","05A","E54000018","E39000033","E40000008","01JUN2019",65,67,511025,525150
"1313","05A","E54000018","E39000033","E40000008","01JUL2019",65,66,515085,525278
"1314","05A","E54000018","E39000033","E40000008","01AUG2019",65,66,515017,525289
"13111","05A","E54000018","E39000033","E40000008","01SEP2019",65,66,514885,525211
"13121","05A","E54000018","E39000033","E40000008","01OCT2019",65,66,521185,531563
