"","Appointment_Date","Appointment_Count","Weekday","MonthYear","Month","patients","all_patients","ratio_patients"
"1",2018-01-01,13,"Monday","2018-01","01",0,0,0
"2",2018-01-02,8056,"Tuesday","2018-01","01",0,0,0
"3",2018-01-03,8098,"Wednesday","2018-01","01",0,0,0
"4",2018-01-04,6899,"Thursday","2018-01","01",0,0,0
"5",2018-01-05,8074,"Friday","2018-01","01",0,0,0
"6",2018-01-06,225,"Saturday","2018-01","01",0,0,0
"7",2018-01-07,1,"Sunday","2018-01","01",0,0,0
"8",2018-01-08,9726,"Monday","2018-01","01",0,0,0
"9",2018-01-09,8694,"Tuesday","2018-01","01",0,0,0
"10",2018-01-10,8185,"Wednesday","2018-01","01",0,0,0
"11",2018-01-11,6711,"Thursday","2018-01","01",0,0,0
"12",2018-01-12,8453,"Friday","2018-01","01",0,0,0
"13",2018-01-13,128,"Saturday","2018-01","01",0,0,0
"14",2018-01-14,1,"Sunday","2018-01","01",0,0,0
"15",2018-01-15,9747,"Monday","2018-01","01",0,0,0
"16",2018-01-16,9013,"Tuesday","2018-01","01",0,0,0
"17",2018-01-17,7207,"Wednesday","2018-01","01",0,0,0
"18",2018-01-18,7371,"Thursday","2018-01","01",0,0,0
"19",2018-01-19,8353,"Friday","2018-01","01",0,0,0
"20",2018-01-20,152,"Saturday","2018-01","01",0,0,0
"21",2018-01-21,4,"Sunday","2018-01","01",0,0,0
"22",2018-01-22,9809,"Monday","2018-01","01",0,0,0
"23",2018-01-23,9058,"Tuesday","2018-01","01",0,0,0
"24",2018-01-24,8720,"Wednesday","2018-01","01",0,0,0
"25",2018-01-25,6919,"Thursday","2018-01","01",0,0,0
"26",2018-01-26,8589,"Friday","2018-01","01",0,0,0
"27",2018-01-27,158,"Saturday","2018-01","01",0,0,0
"28",2018-01-28,13,"Sunday","2018-01","01",0,0,0
"29",2018-01-29,9871,"Monday","2018-01","01",0,0,0
"30",2018-01-30,8896,"Tuesday","2018-01","01",0,0,0
