"","Appointment_Date","Appointment_Count","Weekday","MonthYear","Month","patients","all_patients","ratio_patients","adjusted_count"
"1",2018-01-01,13,"Monday","2018-01","01",447250,512472,0.872730607721007,15
"2",2018-01-02,8056,"Tuesday","2018-01","01",447250,512472,0.872730607721007,9231
"3",2018-01-03,8098,"Wednesday","2018-01","01",447250,512472,0.872730607721007,9279
"4",2018-01-04,6899,"Thursday","2018-01","01",447250,512472,0.872730607721007,7905
"5",2018-01-05,8074,"Friday","2018-01","01",447250,512472,0.872730607721007,9251
"6",2018-01-06,225,"Saturday","2018-01","01",447250,512472,0.872730607721007,258
"7",2018-01-07,1,"Sunday","2018-01","01",447250,512472,0.872730607721007,1
"8",2018-01-08,9726,"Monday","2018-01","01",447250,512472,0.872730607721007,11144
"9",2018-01-09,8694,"Tuesday","2018-01","01",447250,512472,0.872730607721007,9962
"10",2018-01-10,8185,"Wednesday","2018-01","01",447250,512472,0.872730607721007,9379
"11",2018-01-11,6711,"Thursday","2018-01","01",447250,512472,0.872730607721007,7690
"12",2018-01-12,8453,"Friday","2018-01","01",447250,512472,0.872730607721007,9686
"13",2018-01-13,128,"Saturday","2018-01","01",447250,512472,0.872730607721007,147
"14",2018-01-14,1,"Sunday","2018-01","01",447250,512472,0.872730607721007,1
"15",2018-01-15,9747,"Monday","2018-01","01",447250,512472,0.872730607721007,11168
"16",2018-01-16,9013,"Tuesday","2018-01","01",447250,512472,0.872730607721007,10327
"17",2018-01-17,7207,"Wednesday","2018-01","01",447250,512472,0.872730607721007,8258
"18",2018-01-18,7371,"Thursday","2018-01","01",447250,512472,0.872730607721007,8446
"19",2018-01-19,8353,"Friday","2018-01","01",447250,512472,0.872730607721007,9571
"20",2018-01-20,152,"Saturday","2018-01","01",447250,512472,0.872730607721007,174
"21",2018-01-21,4,"Sunday","2018-01","01",447250,512472,0.872730607721007,5
"22",2018-01-22,9809,"Monday","2018-01","01",447250,512472,0.872730607721007,11239
"23",2018-01-23,9058,"Tuesday","2018-01","01",447250,512472,0.872730607721007,10379
"24",2018-01-24,8720,"Wednesday","2018-01","01",447250,512472,0.872730607721007,9992
"25",2018-01-25,6919,"Thursday","2018-01","01",447250,512472,0.872730607721007,7928
"26",2018-01-26,8589,"Friday","2018-01","01",447250,512472,0.872730607721007,9842
"27",2018-01-27,158,"Saturday","2018-01","01",447250,512472,0.872730607721007,181
"28",2018-01-28,13,"Sunday","2018-01","01",447250,512472,0.872730607721007,15
"29",2018-01-29,9871,"Monday","2018-01","01",447250,512472,0.872730607721007,11310
"30",2018-01-30,8896,"Tuesday","2018-01","01",447250,512472,0.872730607721007,10193
"31",2018-01-31,8588,"Wednesday","2018-01","01",447250,512472,0.872730607721007,9840
"32",2018-02-01,7208,"Thursday","2018-02","02",447802,511993,0.87462523901694,8241
"33",2018-02-02,8524,"Friday","2018-02","02",447802,511993,0.87462523901694,9746
"34",2018-02-03,317,"Saturday","2018-02","02",447802,511993,0.87462523901694,362
"35",2018-02-04,4,"Sunday","2018-02","02",447802,511993,0.87462523901694,5
"36",2018-02-05,9877,"Monday","2018-02","02",447802,511993,0.87462523901694,11293
"37",2018-02-06,8959,"Tuesday","2018-02","02",447802,511993,0.87462523901694,10243
"38",2018-02-07,8419,"Wednesday","2018-02","02",447802,511993,0.87462523901694,9626
"39",2018-02-08,6557,"Thursday","2018-02","02",447802,511993,0.87462523901694,7497
"40",2018-02-09,8624,"Friday","2018-02","02",447802,511993,0.87462523901694,9860
"41",2018-02-10,185,"Saturday","2018-02","02",447802,511993,0.87462523901694,212
"42",2018-02-11,13,"Sunday","2018-02","02",447802,511993,0.87462523901694,15
"43",2018-02-12,9989,"Monday","2018-02","02",447802,511993,0.87462523901694,11421
"44",2018-02-13,8944,"Tuesday","2018-02","02",447802,511993,0.87462523901694,10226
"45",2018-02-14,7441,"Wednesday","2018-02","02",447802,511993,0.87462523901694,8508
"46",2018-02-15,7104,"Thursday","2018-02","02",447802,511993,0.87462523901694,8122
"47",2018-02-16,8722,"Friday","2018-02","02",447802,511993,0.87462523901694,9972
"48",2018-02-17,119,"Saturday","2018-02","02",447802,511993,0.87462523901694,136
"49",2018-02-18,13,"Sunday","2018-02","02",447802,511993,0.87462523901694,15
"50",2018-02-19,9183,"Monday","2018-02","02",447802,511993,0.87462523901694,10499
"51",2018-02-20,8392,"Tuesday","2018-02","02",447802,511993,0.87462523901694,9595
"52",2018-02-21,8051,"Wednesday","2018-02","02",447802,511993,0.87462523901694,9205
"53",2018-02-22,6797,"Thursday","2018-02","02",447802,511993,0.87462523901694,7771
"54",2018-02-23,7872,"Friday","2018-02","02",447802,511993,0.87462523901694,9000
"55",2018-02-24,81,"Saturday","2018-02","02",447802,511993,0.87462523901694,93
"56",2018-02-25,13,"Sunday","2018-02","02",447802,511993,0.87462523901694,15
"57",2018-02-26,9725,"Monday","2018-02","02",447802,511993,0.87462523901694,11119
"58",2018-02-27,8465,"Tuesday","2018-02","02",447802,511993,0.87462523901694,9678
"59",2018-02-28,7916,"Wednesday","2018-02","02",447802,511993,0.87462523901694,9051
"60",2018-03-01,7135,"Thursday","2018-03","03",492230,512437,0.960566859926196,7428
"61",2018-03-02,7872,"Friday","2018-03","03",492230,512437,0.960566859926196,8195
"62",2018-03-03,340,"Saturday","2018-03","03",492230,512437,0.960566859926196,354
"63",2018-03-04,2,"Sunday","2018-03","03",492230,512437,0.960566859926196,2
"64",2018-03-05,10527,"Monday","2018-03","03",492230,512437,0.960566859926196,10959
"65",2018-03-06,9734,"Tuesday","2018-03","03",492230,512437,0.960566859926196,10134
