"CCG_CODE","Appointment_Date","APPT_STATUS","HCP_TYPE","APPT_MODE","TIME_BETWEEN_BOOK_AND_APPT","COUNT_OF_APPOINTMENTS","Weekday","patients","all_patients","ratio_patients"
"05A","01/11/2017","Unknown","HCP Type Not Provided","Telephone","Same Day",14,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Unknown","HCP Type Not Provided","Telephone","2 to 7 Days",4,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Unknown","HCP Type Not Provided","Telephone","15  to 21 Days",1,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Unknown","HCP Type Not Provided","Home Visit","More than 28 Days",4,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Unknown","HCP Type Not Provided","Home Visit","8  to 14 Days",1,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Unknown","HCP Type Not Provided","Telephone","1 Day",4,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Unknown","HCP Type Not Provided","Home Visit","22  to 28 Days",1,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Unknown","HCP Type Not Provided","Home Visit","Same Day",25,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Unknown","HCP Type Not Provided","Home Visit","2 to 7 Days",8,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Unknown","HCP Type Not Provided","Home Visit","15  to 21 Days",1,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Unknown","HCP Type Not Provided","Face-to-Face","Same Day",45,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Unknown","HCP Type Not Provided","Face-to-Face","More than 28 Days",6,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Unknown","HCP Type Not Provided","Face-to-Face","8  to 14 Days",4,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Unknown","HCP Type Not Provided","Face-to-Face","2 to 7 Days",21,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Unknown","HCP Type Not Provided","Face-to-Face","15  to 21 Days",2,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Unknown","HCP Type Not Provided","Face-to-Face","1 Day",8,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","DNA","HCP Type Not Provided","Telephone","Same Day",20,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","DNA","HCP Type Not Provided","Home Visit","Same Day",1,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","DNA","HCP Type Not Provided","Telephone","1 Day",4,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","DNA","HCP Type Not Provided","Face-to-Face","Same Day",101,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","DNA","HCP Type Not Provided","Face-to-Face","More than 28 Days",25,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","DNA","HCP Type Not Provided","Face-to-Face","8  to 14 Days",141,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","DNA","HCP Type Not Provided","Face-to-Face","2 to 7 Days",127,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","DNA","HCP Type Not Provided","Face-to-Face","15  to 21 Days",82,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","DNA","HCP Type Not Provided","Face-to-Face","1 Day",57,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Attended","HCP Type Not Provided","Telephone","Same Day",492,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Unknown","HCP Type Not Provided","Face-to-Face","22  to 28 Days",5,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Attended","HCP Type Not Provided","Telephone","More than 28 Days",2,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","DNA","HCP Type Not Provided","Face-to-Face","22  to 28 Days",48,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Unknown","HCP Type Not Provided","Telephone","8  to 14 Days",1,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Attended","HCP Type Not Provided","Telephone","8  to 14 Days",24,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Unknown","HCP Type Not Provided","Home Visit","1 Day",6,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Attended","HCP Type Not Provided","Telephone","22  to 28 Days",5,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","DNA","HCP Type Not Provided","Telephone","2 to 7 Days",2,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Attended","HCP Type Not Provided","Telephone","2 to 7 Days",76,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Attended","HCP Type Not Provided","Telephone","15  to 21 Days",4,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","DNA","HCP Type Not Provided","Telephone","8  to 14 Days",1,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Attended","HCP Type Not Provided","Telephone","1 Day",69,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Attended","HCP Type Not Provided","Home Visit","Same Day",32,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Attended","HCP Type Not Provided","Home Visit","2 to 7 Days",4,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","DNA","HCP Type Not Provided","Face-to-Face","Unknown / Data Issue",2,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Attended","HCP Type Not Provided","Home Visit","15  to 21 Days",1,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Attended","HCP Type Not Provided","Home Visit","1 Day",9,"Wednesday",446595,513546,0.869629984460983
